index,time,open,high,low,close,volume
206,2023-11-13 13:00:00,184.5850,184.7570,184.2250,184.4880,2841196
205,2023-11-13 14:00:00,184.4930,184.7770,184.3650,184.7150,2903676
204,2023-11-13 15:00:00,184.7050,184.8460,184.3750,184.5350,6751761
203,2023-11-14 10:00:00,187.0270,187.2830,186.6120,186.7880,7207202
202,2023-11-14 11:00:00,186.7920,186.9240,186.1720,186.4230,4774016
201,2023-11-14 12:00:00,186.4230,187.2230,186.3720,187.1920,4269147
200,2023-11-14 13:00:00,187.2020,187.2630,186.8710,186.9530,3958982
199,2023-11-14 14:00:00,186.9620,187.7530,186.5820,187.6670,6121336
198,2023-11-14 15:00:00,187.6610,187.8730,186.9710,187.2020,10607063
197,2023-11-15 10:00:00,187.9860,189.0010,187.6100,188.9350,7729482
196,2023-11-15 11:00:00,188.9350,189.2610,188.3700,188.5190,6684935
195,2023-11-15 12:00:00,188.5200,188.9310,188.2900,188.5600,4292252
194,2023-11-15 13:00:00,188.5500,188.8410,188.2250,188.7000,3896888
193,2023-11-15 14:00:00,188.7100,188.7220,187.9300,188.0740,3898657
192,2023-11-15 15:00:00,188.0810,188.3220,187.5410,187.8510,8079238
191,2023-11-16 10:00:00,190.4430,190.6090,188.7690,189.2150,8430058
190,2023-11-16 11:00:00,189.2190,189.3310,188.4790,189.0500,5630495
189,2023-11-16 12:00:00,189.0490,189.7400,188.9490,189.5140,4158160
188,2023-11-16 13:00:00,189.5190,189.5410,188.4090,189.0400,3876214
187,2023-11-16 14:00:00,189.0440,189.4960,188.9740,189.3340,3886642
186,2023-11-16 15:00:00,189.3290,189.6630,189.0890,189.5290,7958139
185,2023-11-17 10:00:00,189.5290,189.5410,188.3300,189.3300,8322411
184,2023-11-17 11:00:00,189.3290,189.3610,188.5790,189.0050,4531291
183,2023-11-17 12:00:00,189.0050,189.2210,188.6490,189.0100,3217696
182,2023-11-17 13:00:00,189.0100,189.5010,188.8440,189.2980,3250004
181,2023-11-17 14:00:00,189.2990,189.7300,189.2930,189.7290,3773250
180,2023-11-17 15:00:00,189.7290,189.9400,189.2780,189.4690,8444496
179,2023-11-20 10:00:00,190.9770,191.1270,190.1870,190.8700,6387227
178,2023-11-20 11:00:00,190.8770,191.1290,190.7670,191.0770,4002881
177,2023-11-20 12:00:00,191.0770,191.3080,190.8360,190.9070,3354819
176,2023-11-20 13:00:00,190.9170,191.5580,190.8860,191.4390,4773891
175,2023-11-20 14:00:00,191.4410,191.5280,191.0860,191.3470,3445650
174,2023-11-20 15:00:00,191.3470,191.6630,190.9160,191.2570,7620568
173,2023-11-21 10:00:00,190.5930,191.2190,189.8280,190.0060,6697967
172,2023-11-21 11:00:00,190.0080,191.2190,189.4980,189.9800,4067258
171,2023-11-21 12:00:00,189.9930,190.3550,189.8480,190.2880,3209508
170,2023-11-21 13:00:00,190.2870,190.3600,189.7980,190.1780,2948341
169,2023-11-21 14:00:00,190.1680,190.3750,189.9480,190.2760,3066436
168,2023-11-21 15:00:00,190.2680,190.4890,190.0470,190.4080,7424441
167,2023-11-22 10:00:00,191.6760,192.1270,191.1460,191.2070,6286072
166,2023-11-22 11:00:00,191.2120,191.6230,191.1960,191.4190,3527773
165,2023-11-22 12:00:00,191.4210,191.7180,191.3060,191.6610,3498256
164,2023-11-22 13:00:00,191.6560,191.8480,191.2860,191.3870,3611173
163,2023-11-22 14:00:00,191.3770,191.4680,190.5820,191.1070,3764292
162,2023-11-22 15:00:00,191.1070,191.7430,190.9760,191.0570,5284339
161,2023-11-24 10:00:00,189.7490,189.8500,189.0090,189.2440,5631990
160,2023-11-24 11:00:00,189.2490,189.5490,189.1090,189.3590,4462012
159,2023-11-24 12:00:00,189.3590,189.7600,189.2580,189.7390,5335886
158,2023-11-24 13:00:00,189.7290,189.8000,189.4530,189.6590,6463567
157,2023-11-24 14:00:00,189.6590,197.7740,177.7500,189.7040,44110
156,2023-11-24 15:00:00,189.7040,189.8500,189.6780,189.7490,9335
155,2023-11-27 10:00:00,189.0100,189.6700,188.7690,189.0950,4968404
154,2023-11-27 11:00:00,189.0890,190.1800,188.8040,190.0290,4747727
153,2023-11-27 12:00:00,190.0280,190.2700,189.9620,190.2080,3095502
152,2023-11-27 13:00:00,190.2170,190.4290,189.7780,189.8790,3402434
151,2023-11-27 14:00:00,189.8880,189.9500,189.2780,189.6440,2710243
150,2023-11-27 15:00:00,189.6440,189.8200,189.3630,189.5390,6265348
149,2023-11-28 10:00:00,189.4740,190.3700,189.4730,189.9040,5977932
148,2023-11-28 11:00:00,189.9030,190.8390,189.8380,190.4680,4426586
147,2023-11-28 12:00:00,190.4730,190.5690,189.9820,190.0580,2832013
146,2023-11-28 13:00:00,190.0580,190.0600,189.5180,189.6690,3878631
145,2023-11-28 14:00:00,189.6740,189.8700,189.4180,189.7940,3210302
144,2023-11-28 15:00:00,189.8090,190.1600,189.3430,190.1480,6600662
143,2023-11-29 10:00:00,191.4960,191.5780,190.3570,190.6830,5818225
142,2023-11-29 11:00:00,190.6920,190.7140,189.6680,189.6790,4948698
141,2023-11-29 12:00:00,189.6790,189.7600,189.2780,189.4610,3149321
